in_zone,out_zone
0.0343,0.0174
0.6785,0.1567
0.0246,0.4015
0.1241,0.0275
0.0824,0.0271
0.3148,0.0491
0.0139,0.1519
0.0197,0.0394
0.1013,0.0085
0.2998,0.6381
0.1403,0.0402
0.6492,0.1775
0.0258,0.0605
0.4436,0.0122
0.5421,0.0049
0.0406,0.0096
0.6408,0.0089
0.0539,0.0961
0.0392,0.4237
0.0403,0.0372
0.0672,0.0184
0.233,0.3326
0.0947,0.0463
0.0502,0.1722
0.073,0.1209
0.0529,0.2232
0.5708,0.3349
0.0211,0.0619
0.0224,0.1435
0.6385,0.1584
0.2862,0.1888
0.1879,0.1755
0.8208,0.1404
0.0152,0.3045
0.1722,0.0043
0.3025,0.1933
0.2659,0.3458
0.2972,0.8702
0.5952,0.3734
0.0367,0.5526
0.5158,0.396
0.0515,0.3411
0.0074,0.0454
0.0284,0.6188
0.2373,0.8107
0.5471,0.4798
0.0022,0.5286
0.0181,0.0602
0.027,0.1604
0.2957,0.932
0.3607,0.132
0.2831,0.6202
0.0159,0.6796
0.4256,0.0624
0.0134,0.0034
0.0081,0.4179
0.3121,0.0603
0.0704,0.4752
0.3812,0.1187
0.0179,0.0163
0.0165,0.1464
0.0223,0.4034
0.5504,0.05
0.0182,0.5615
0.0875,0.0383
0.0164,0.1042
0.1877,0.0152
0.0076,0.2117
0.0114,0.1023
0.0561,0.1397
0.0193,0.0338
0.0188,0.0217
0.1582,0.2872
0.0507,0.3672
0.0855,0.0505
0.3562,0.4554
0.2606,0.3494
0.0287,0.1297
0.0415,0.143
0.0844,0.0173
0.089,0.012
0.0178,0.0159
0.0146,0.0161
0.0808,0.0188
0.0421,0.0533
0.1656,0.1189
0.0818,0.0682
0.0356,0.068
0.1257,0.0092
0.043,0.2993
0.0554,0.1694
0.2289,0.0445
0.3478,0.8483
0.2125,0.3188
0.0619,0.2099
0.2618,0.0571
0.0316,0.3776
0.0034,0.1108
0.0603,0.0143
0.0155,0.3807
0.0034,0.0855
0.281,0.0843
0.1763,0.6696
0.0802,0.3766
0.5781,0.4964
0.0457,0.5461
0.3193,0.0036
0.0753,0.2241
0.0897,0.432
0.0248,0.1973
0.1179,0.5535
0.2432,0.097
0.0333,0.5946
0.1813,0.2237
0.1434,0.5853
0.0823,0.2461
0.2518,0.3374
0.0484,0.0976
0.311,0.0533
0.0417,0.1444
0.0495,0.0835
0.0764,0.0194
0.1216,0.1289
