FID,TPI,TWI,Pente,CircVarAsp,Zone
"383",0.0188,7.6377,0.6434,0.347,"1"
"384",0.0000,9.1929,2.7087,0.030,"1"
"385",0.0000,6.1830,0.7000,0.474,"1"
"386",0.0000,6.1025,6.0271,0.053,"1"
"387",0.3398,4.9860,2.4321,0.069,"1"
"388",0.0996,11.1491,0.2760,0.061,"1"
"389",0.3436,5.4265,2.0216,0.091,"1"
"390",0.0000,6.6290,0.5764,0.316,"1"
"391",0.0000,10.9270,1.6526,0.824,"1"
"392",0.0000,11.8841,0.4307,0.061,"1"
"393",0.0000,7.3335,0.7759,0.470,"1"
"394",0.0000,9.4889,1.5950,0.446,"1"
"395",0.0000,6.1633,1.5210,0.111,"1"
"396",0.0000,9.4745,4.7695,0.050,"1"
"397",0.0000,9.5334,0.6292,0.122,"1"
"398",0.0000,9.7974,1.6895,0.746,"1"
"399",0.0000,6.0965,0.9261,0.933,"1"
"400",0.0000,4.9127,13.0730,0.021,"1"
"401",0.0000,7.0542,7.9514,0.437,"1"
"402",0.0000,10.3335,2.2583,0.931,"1"
"403",0.0000,7.4114,6.9786,0.404,"1"
"404",0.0000,8.2582,0.8835,0.076,"1"
"405",0.1027,11.5970,3.5685,0.061,"1"
"406",0.0000,10.0693,0.8572,0.078,"1"
"407",0.1229,4.8704,4.7889,0.483,"1"
"408",0.0030,5.4534,4.5685,0.138,"1"
"409",0.0000,6.1421,4.3288,0.340,"1"
"410",0.0000,9.3051,3.3797,0.118,"1"
"411",0.2526,5.8639,0.9142,0.081,"1"
"412",0.0590,6.6488,4.4866,0.125,"1"
"413",0.2928,3.8379,18.8751,0.185,"1"
"414",0.0000,6.3370,3.3174,0.168,"1"
"415",0.0000,7.4094,0.4569,0.052,"1"
"416",0.2999,4.4541,10.1983,0.197,"1"
"417",0.0740,9.8028,0.5459,0.022,"1"
"418",0.0000,6.7873,3.3461,0.293,"1"
"419",0.0640,10.0445,1.6056,0.011,"1"
"420",0.0000,8.1587,4.9741,0.152,"1"
"421",0.0000,11.3003,2.5827,0.110,"1"
"422",0.0000,10.2120,4.9193,0.012,"1"
"423",0.0000,4.0792,22.4199,0.013,"1"
"424",0.2556,8.0048,1.1702,0.030,"1"
"425",0.0000,4.1973,12.2626,0.083,"1"
"426",0.0000,9.8212,4.6697,0.138,"1"
"427",0.0525,7.4350,1.9966,0.093,"1"
"428",0.2157,5.3102,1.9616,0.102,"1"
"429",0.0587,6.0031,0.9407,0.046,"1"
"430",0.0000,8.2854,1.2745,0.232,"1"
"431",0.0000,7.7665,3.3224,0.050,"1"
"432",0.0000,9.9586,0.6107,0.175,"1"
"433",0.0000,7.9720,10.2124,0.008,"1"
"434",0.0000,9.6710,4.6601,0.171,"1"
"435",0.0000,7.5922,1.4520,0.219,"1"
"436",0.0000,7.0756,0.6222,0.195,"1"
"437",0.0000,10.1963,2.4313,0.374,"1"
"438",0.0000,6.5433,1.8197,0.712,"1"
"439",0.0000,7.7788,0.9084,0.355,"1"
"440",0.0000,9.7911,1.0813,0.431,"1"
"441",0.0000,11.3898,0.7112,0.169,"1"
"442",0.0000,10.4362,2.3500,0.008,"1"
"443",0.0000,5.8859,1.5202,0.477,"1"
"444",0.0000,14.7373,0.5058,0.440,"1"
"445",0.1522,7.6140,0.4369,0.013,"1"
"446",0.0000,7.7126,4.9504,0.037,"1"
"447",0.0000,6.7433,1.4765,0.485,"1"
"448",0.0000,9.4295,0.9609,0.493,"1"
"449",0.0968,3.5500,8.5842,0.077,"1"
"450",0.0000,6.4709,3.3140,0.600,"1"
"451",0.0000,10.5342,5.7002,0.015,"1"
"452",0.0000,6.6104,7.2708,0.239,"1"
"453",0.0000,7.5137,0.2518,0.015,"1"
"454",0.0000,7.6731,4.1262,0.047,"1"
"455",0.0000,8.4076,2.8002,0.564,"1"
"456",0.0922,7.2599,3.8557,0.593,"1"
"457",0.0000,9.2919,1.7020,0.018,"1"
"458",0.0000,9.7395,7.7953,0.012,"1"
"459",0.0000,8.0609,5.7510,0.385,"1"
"460",0.0000,5.7220,1.0068,0.605,"1"
"461",0.0235,5.0611,12.5194,0.070,"1"
"462",0.0000,9.1603,11.4432,0.010,"1"
"463",0.0000,6.0498,5.0760,0.160,"1"
"464",0.1803,6.3642,7.2483,0.006,"1"
"465",0.1640,7.1254,3.3046,0.019,"1"
"466",0.0000,8.9366,8.5983,0.012,"1"
"467",0.1911,7.1464,3.3178,0.057,"1"
"468",0.0000,7.2915,3.0135,0.027,"1"
"469",0.3320,7.4052,1.0838,0.924,"1"
"470",0.0000,7.6296,3.3096,0.029,"1"
"471",0.0000,6.4611,5.6894,0.131,"1"
"472",0.4744,3.7613,12.0324,0.143,"1"
"473",0.0000,9.0570,9.2471,0.565,"1"
"474",0.0000,6.2271,1.7216,0.459,"1"
"475",0.0075,5.8053,6.0037,0.334,"1"
"476",0.0000,5.7579,11.8872,0.566,"1"
"477",0.4242,5.1378,6.4029,0.140,"1"
"478",0.0000,5.0052,7.3864,0.155,"1"
"479",0.0000,6.5961,4.1718,0.076,"1"
"480",0.0000,9.0145,1.1115,0.240,"1"
"481",0.0000,6.7397,2.2132,0.074,"1"
"482",0.0000,6.7036,1.8259,0.340,"1"
"483",0.0494,6.0325,1.5447,0.134,"1"
"484",0.0000,6.5914,3.5694,0.119,"1"
"485",0.0000,4.4714,24.2840,0.113,"1"
"486",0.0000,8.4125,1.1968,0.311,"1"
"487",0.0000,5.9301,12.9527,0.459,"1"
"488",0.0000,8.2159,0.7821,0.382,"1"
"489",0.0000,9.9866,0.3009,0.356,"1"
"490",0.0279,7.7964,0.9576,0.114,"1"
"491",0.0000,6.2585,5.8662,0.005,"1"
"492",0.0000,5.0342,3.4736,0.513,"1"
"493",0.0000,7.1702,1.3796,0.414,"1"
"494",0.0041,6.7806,3.8200,0.042,"1"
"495",0.0000,10.1301,5.0813,0.030,"1"
"496",0.0000,7.0335,1.1565,0.418,"1"
"497",0.0000,7.1528,7.8697,0.602,"1"
"498",0.3792,5.6739,6.0139,0.393,"1"
"499",0.0000,6.6933,7.0962,0.009,"1"
"500",0.0000,4.1192,12.4387,0.079,"1"
"501",0.0000,13.6922,2.2089,0.137,"1"
"502",0.0000,8.1542,8.8509,0.247,"1"
"503",0.5127,5.6600,1.6324,0.258,"1"
"504",0.0000,11.1527,0.4257,0.340,"1"
"505",0.0000,7.9499,1.2742,0.458,"1"
"506",0.0000,4.2401,4.9899,0.428,"1"
"507",0.0528,4.7030,11.1448,0.310,"1"
"508",0.4608,4.7850,4.1125,0.100,"1"
"509",0.0000,9.4533,4.2028,0.027,"1"
"510",0.0000,9.5654,4.0317,0.008,"1"
"511",0.3205,5.1367,7.7761,0.276,"1"
"512",0.1158,5.0248,16.4394,0.464,"1"
"513",0.0003,6.8567,1.0383,0.328,"1"
"514",0.0091,7.7237,4.6935,0.002,"1"
"515",0.1138,5.4645,6.0122,0.183,"1"
"516",0.0000,10.5813,3.7818,0.462,"1"
"517",0.2661,6.5857,1.3542,0.347,"1"
"518",0.0000,5.8756,1.9582,0.064,"1"
"519",0.0766,7.2220,3.5926,0.001,"1"
"520",0.0307,3.7842,13.1361,0.123,"1"
"521",0.3555,4.7291,8.6136,0.259,"1"
"522",0.0832,4.8273,14.4302,0.085,"1"
"523",0.8181,4.0055,9.7207,0.498,"1"
"524",0.0000,7.1848,4.7576,0.006,"1"
"525",0.0000,6.3524,3.3590,0.135,"1"
"526",0.0000,6.2745,2.6461,0.245,"1"
"527",0.0000,8.1935,5.2669,0.593,"1"
"528",0.0000,7.2434,2.8218,0.017,"1"
"529",0.0000,10.3335,3.1702,0.026,"1"
"530",0.1344,7.1064,1.4099,0.127,"1"
"531",0.0000,5.0631,14.1026,0.248,"1"
"532",0.0000,9.1535,2.3460,0.014,"1"
"533",0.0000,7.8129,5.9704,0.049,"1"
"534",0.0000,12.3058,2.0530,0.018,"1"
